# energy mu normalized_energy pre_edge post_edge
8.765091000000000349e+03 4.021890000000000187e-01 8.765091000000000349e+03 4.023551409044117122e-01 3.277921160639325038e+00
8.765352999999999156e+03 4.023425999999999947e-01 8.765352999999999156e+03 4.023156626825192816e-01 3.277690919161663885e+00
8.765614999999999782e+03 4.021456999999999948e-01 8.765614999999999782e+03 4.022761844606266290e-01 3.277460677684000068e+00
8.765879000000000815e+03 4.021725999999999912e-01 8.765879000000000815e+03 4.022364048782613999e-01 3.277228678637804649e+00
8.766141999999999825e+03 4.021387000000000156e-01 8.766141999999999825e+03 4.021967759761326811e-01 3.276997558375876807e+00
8.766405000000000655e+03 4.020975999999999995e-01 8.766405000000000655e+03 4.021571470740037402e-01 3.276766438113948077e+00
8.766667999999999665e+03 4.020465999999999762e-01 8.766667999999999665e+03 4.021175181718750213e-01 3.276535317852020235e+00
8.766932000000000698e+03 4.021244999999999958e-01 8.766932000000000698e+03 4.020777385895097922e-01 3.276303318805824816e+00
8.767193999999999505e+03 4.020227000000000106e-01 8.767193999999999505e+03 4.020382603676175837e-01 3.276073077328162775e+00
8.767458000000000538e+03 4.019717999999999902e-01 8.767458000000000538e+03 4.019984807852523545e-01 3.275841078281967356e+00
8.767719999999999345e+03 4.019720999999999989e-01 8.767719999999999345e+03 4.019590025633599240e-01 3.275610836804306203e+00
8.767983000000000175e+03 4.018410000000000037e-01 8.767983000000000175e+03 4.019193736612309831e-01 3.275379716542376585e+00
8.770613999999999578e+03 4.016733000000000109e-01 8.770613999999999578e+03 4.015229339597066183e-01 3.273067635138825260e+00
8.773246999999999389e+03 4.013295000000000057e-01 8.773246999999999389e+03 4.011261928977096769e-01 3.270753796166741445e+00
8.775879999999999200e+03 4.008461999999999859e-01 8.775879999999999200e+03 4.007294518357127355e-01 3.268439957194657630e+00
8.778514999999999418e+03 4.005984000000000211e-01 8.778514999999999418e+03 4.003324094132434396e-01 3.266124360654042214e+00
8.781149999999999636e+03 4.002285999999999899e-01 8.781149999999999636e+03 3.999353669907739217e-01 3.263808764113425909e+00
8.781281999999999243e+03 4.001696000000000142e-01 8.781281999999999243e+03 3.999154771995914182e-01 3.263692764590328643e+00
8.781547000000000480e+03 4.000688000000000022e-01 8.781547000000000480e+03 3.998755469369899007e-01 3.263459886759867423e+00
8.781809999999999491e+03 4.001271000000000133e-01 8.781809999999999491e+03 3.998359180348614039e-01 3.263228766497939581e+00
8.782073000000000320e+03 4.000963000000000158e-01 8.782073000000000320e+03 3.997962891327322410e-01 3.262997646236010851e+00
8.782336999999999534e+03 4.000991999999999882e-01 8.782336999999999534e+03 3.997565095503674559e-01 3.262765647189816320e+00
8.782601000000000568e+03 4.000226000000000059e-01 8.782601000000000568e+03 3.997167299680022268e-01 3.262533648143620901e+00
8.782863999999999578e+03 3.999891999999999892e-01 8.782863999999999578e+03 3.996771010658735079e-01 3.262302527881693059e+00
8.783127000000000407e+03 4.000065999999999899e-01 8.783127000000000407e+03 3.996374721637445671e-01 3.262071407619764329e+00
8.783391999999999825e+03 3.998961999999999795e-01 8.783391999999999825e+03 3.995975419011432717e-01 3.261838529789303998e+00
8.783654000000000451e+03 3.998364999999999836e-01 8.783654000000000451e+03 3.995580636792506191e-01 3.261608288311641068e+00
8.783918999999999869e+03 3.998466999999999993e-01 8.783918999999999869e+03 3.995181334166495457e-01 3.261375410481180737e+00
8.784183000000000902e+03 3.997385999999999995e-01 8.784183000000000902e+03 3.994783538342843165e-01 3.261143411434985317e+00
8.784445999999999913e+03 3.997705999999999760e-01 8.784445999999999913e+03 3.994387249321555977e-01 3.260912291173057476e+00
8.784709999999999127e+03 3.997855000000000159e-01 8.784709999999999127e+03 3.993989453497905906e-01 3.260680292126863833e+00
8.784974000000000160e+03 3.996534999999999949e-01 8.784974000000000160e+03 3.993591657674253614e-01 3.260448293080668414e+00
8.785236999999999171e+03 3.998132999999999826e-01 8.785236999999999171e+03 3.993195368652968646e-01 3.260217172818740572e+00
8.785501000000000204e+03 3.996642999999999724e-01 8.785501000000000204e+03 3.992797572829316355e-01 3.259985173772545153e+00
8.785765999999999622e+03 3.995541000000000231e-01 8.785765999999999622e+03 3.992398270203303401e-01 3.259752295942085709e+00
8.786029000000000451e+03 3.995956999999999981e-01 8.786029000000000451e+03 3.992001981182013992e-01 3.259521175680156091e+00
8.786291999999999462e+03 3.996396999999999866e-01 8.786291999999999462e+03 3.991605692160726804e-01 3.259290055418228249e+00
8.786557000000000698e+03 3.994980000000000198e-01 8.786557000000000698e+03 3.991206389534713850e-01 3.259057177587767029e+00
8.786820999999999913e+03 3.995563999999999782e-01 8.786820999999999913e+03 3.990808593711063779e-01 3.258825178541573386e+00
